uuid;name;duration;size;video_quality;stream_link
a2555ed6-9867-43f7-9a5e-762d48f72edb;php7bbR17;22;26101228;1920x1080;https://storage.gra.cloud.ovh.net/v1/AUTH_cf288dd96a8a4bc5bbc0ba258e1b93b8/media-storage-prod/a2555ed6-9867-43f7-9a5e-762d48f72edb_php7bbr17.mp4
52b1e46d-648b-4dcb-98d1-2017967c9f27;phpGgzYTf;22;26103816;1920x1080;https://storage.gra.cloud.ovh.net/v1/AUTH_cf288dd96a8a4bc5bbc0ba258e1b93b8/media-storage-prod/52b1e46d-648b-4dcb-98d1-2017967c9f27_phpggzytf.mp4
9f7b59bd-1e1b-43e4-9daa-f31dd510f769;phprKiono;22;26106452;1920x1080;https://storage.gra.cloud.ovh.net/v1/AUTH_cf288dd96a8a4bc5bbc0ba258e1b93b8/media-storage-prod/9f7b59bd-1e1b-43e4-9daa-f31dd510f769_phprkiono.mp4
a2ee77d4-df8d-450d-a5d9-d2a9809becde;phpLhmx5S;22;26111823;1920x1080;https://storage.gra.cloud.ovh.net/v1/AUTH_cf288dd96a8a4bc5bbc0ba258e1b93b8/media-storage-prod/a2ee77d4-df8d-450d-a5d9-d2a9809becde_phplhmx5s.mp4
ad53ce8f-dcb2-4e2f-aa0f-cc097f2d7095;phpNMIrUV;22;26122609;1920x1080;https://storage.gra.cloud.ovh.net/v1/AUTH_cf288dd96a8a4bc5bbc0ba258e1b93b8/media-storage-prod/ad53ce8f-dcb2-4e2f-aa0f-cc097f2d7095_phpnmiruv.mp4
f2f5dfd3-947f-4d06-9ee5-5d7bea272d8f;764979-2_-23lufs_TENA_Washables_SecretAware-NewOpening_OLV_15s_H25p_FR_v5;15;26125094;1920x1080;https://storage.gra.cloud.ovh.net/v1/AUTH_cf288dd96a8a4bc5bbc0ba258e1b93b8/media-storage-prod/f2f5dfd3-947f-4d06-9ee5-5d7bea272d8f_764979-2-23lufs-tena-washables-secretaware-newopening-olv-15s-h25p-fr-v5.mp4
fa71384c-b784-49c9-bb94-645be93bdae8;phpkeuVrA;22;26126416;1920x1080;https://storage.gra.cloud.ovh.net/v1/AUTH_cf288dd96a8a4bc5bbc0ba258e1b93b8/media-storage-prod/fa71384c-b784-49c9-bb94-645be93bdae8_phpkeuvra.mp4
68ba3d30-0ec1-4aad-b0d1-90aad0958c47;phpOw7rbg;22;26128101;1920x1080;https://storage.gra.cloud.ovh.net/v1/AUTH_cf288dd96a8a4bc5bbc0ba258e1b93b8/media-storage-prod/68ba3d30-0ec1-4aad-b0d1-90aad0958c47_phpow7rbg.mp4
c0c81dc9-deee-41d0-8a00-e1d2603e51f2;H_S_20s_Dandruff_FRENCH_FR_ISP_SSTitres - Source;20;26142821;1920x1080;https://storage.gra.cloud.ovh.net/v1/AUTH_cf288dd96a8a4bc5bbc0ba258e1b93b8/media-storage-prod/c0c81dc9-deee-41d0-8a00-e1d2603e51f2_h-s-20s-dandruff-french-fr-isp-sstitres-source.mp4
f77e1777-5c90-451c-9857-33632a89298c;phpIQfIbl;22;26153263;1920x1080;https://storage.gra.cloud.ovh.net/v1/AUTH_cf288dd96a8a4bc5bbc0ba258e1b93b8/media-storage-prod/f77e1777-5c90-451c-9857-33632a89298c_phpiqfibl.mp4
